"","species","season","cell","cell_lat","n","anova_p","manova_p","q5","q5_low","q5_high","bl_q5","bl_q5_low","bl_q5_high","q50","q95","q95_low","q95_high","bl_q95","bl_q95_low","bl_q95_high","onset_ci_ol","offset_ci_ol"
"988","Camponotus castaneus",2,328,35.4927536231884,25,0.102876451434452,4.37061032016661e-10,5.94488978368991,4.33683169659758,7.14374976139186,7.97867248874212,7.05092439538801,8.57567179714738,13.0827091566971,21.888703198676,15.872397962547,24.6979232329757,20.1714112630414,19.7969210677101,21.3801387928437,TRUE,TRUE
"989","Camponotus castaneus",3,328,35.4927536231884,32,0.153901819328108,0.0402194483724878,8.41794543441963,5.54262953002658,9.57316566045931,6.35508740043395,5.61378095424207,7.92579048848225,15.5084684553931,22.2521743689959,21.0016809830236,24.1543690386485,21.2735790242753,20.1899872863801,22.1090285930405,TRUE,TRUE
"990","Camponotus castaneus",4,328,35.4927536231884,10,0.92883706295196,0.0160625293598231,7.74969012349936,3.79574516703964,12.8960525614675,7.56545329375958,7.2520446806882,8.85350232827752,16.2535260833097,22.9062884143118,16.884493893229,25.4649643830058,19.8613151354934,19.0829511877346,20.5619296514627,TRUE,TRUE
"991","Pogonomyrmex badius",3,328,35.4927536231884,10,0.954242882261445,0.959615246077422,7.74559333614016,5.67553692240504,9.53860521635358,4.70948687500643,3.47577825461551,5.50822194842836,13.5674583736912,17.6029803595317,13.2748198699972,20.0341547134041,21.7447372385233,21.0821635163862,23.7142781605295,FALSE,FALSE
"992","Camponotus pennsylvanicus",2,328,35.4927536231884,72,0.841608104865209,1.80746109237062e-16,7.45659697166202,6.6626902186692,8.82678710909597,7.32631326988816,6.29699220904281,8.59419623040345,14.2502276383149,19.9157734018684,18.4158146298544,20.7660811990067,19.7071872098646,18.6788792031806,20.4059281357909,TRUE,TRUE
"993","Camponotus pennsylvanicus",3,328,35.4927536231884,41,0.218534127673061,1.69492335962777e-06,6.84634743545427,5.87405766072632,8.94429628040088,6.26227800091526,5.74591049326627,6.59219329944256,13.4974641735055,20.2073763040575,17.1166714327175,21.8356803057338,22.043379320058,20.7031126389346,22.8503658250058,TRUE,TRUE
"994","Camponotus pennsylvanicus",4,328,35.4927536231884,26,0.580928074810654,4.15875219540263e-13,8.31061177560538,7.48670033670771,10.2066033628463,6.69881988876467,6.12382363329124,7.98884260598209,14.1567325600485,19.2404946429424,17.2558745442983,21.2182529997652,19.7181793032834,18.9880119415841,20.4534751753936,TRUE,TRUE
"995","Dorymyrmex bureni",2,328,35.4927536231884,9,0.882562033469993,0.753272287949399,5.64972625224365,4.10767521469078,7.27283235405736,6.19949354510469,5.56223475416644,7.18687805951615,12.7444105021289,19.8262226748948,16.4817405261436,21.7940325943494,19.9783529365176,18.4492229335255,20.7694229204371,TRUE,TRUE
"996","Dorymyrmex bureni",3,328,35.4927536231884,14,0.825347920429776,0.0517399645687785,6.09051508311666,5.2625413600243,9.32866151167029,5.04501351425398,4.31302366317108,6.03155965811179,13.0350585795783,18.2432289848752,16.2551079502826,20.8735120784996,21.2462843527927,20.3208034730116,22.268417052162,TRUE,TRUE
"997","Dorymyrmex bureni",4,328,35.4927536231884,12,0.555955392358135,0.453522864000366,7.51827644276691,4.93233893480245,10.6767661833375,7.27502977367227,6.75815694586584,7.61808433675336,15.693183281935,22.5332865430955,18.0145885754348,24.0766183700682,19.9015716663772,18.804060836098,20.2093985085431,TRUE,TRUE
