"","species","season","cell","cell_lat","cell_lon","n","anova_p","manova_p","q5","q5_low","q5_high","bl_q5","bl_q5_low","bl_q5_high","q50","q95","q95_low","q95_high","bl_q95","bl_q95_low","bl_q95_high","onset_ci_ol","offset_ci_ol","is_sig_any","is_sig_except_off","is_sig_except_man","is_sig_anov_onset","is_sig_onset_offset","midday_dist","genus"
"891","Camponotus texanus","4",420,33.4782608695652,-98,10,0.188458791127086,0.126939245722758,9.23448426330379,3.75160288102747,9.24842536162955,7.62907256033197,6.7384136287294,8.33720240578561,17.3581652879578,24.1155107463546,18.5896684043542,25.4792585251424,21.8969069871523,20.9910777497411,22.5141944832635,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.35816528795782,"Camponotus"
"892","Camponotus pennsylvanicus","2",460,44.2608695652174,-92.6086956521739,21,0.457736084204444,5.86616637047802e-11,9.18194696329691,7.95811335271777,10.8543690219913,7.50060047904039,6.23002214846209,8.07656739220701,14.6629409442648,18.461577765597,17.4699321862888,19.2069915424472,19.6234644196441,18.9410846860552,20.2585578173433,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.337059055735228,"Camponotus"
"893","Camponotus pennsylvanicus","3",460,44.2608695652174,-92.6086956521739,23,0.997327328927265,5.81300258737405e-06,8.34363723202802,7.10984445157323,10.6267732306659,6.9831894507202,6.7988847914914,7.90238537691334,13.6407418932614,19.3520958328546,17.2750864354392,19.4256407007382,20.9570394132298,19.74595717164,21.9235220341998,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,1.35925810673856,"Camponotus"
"894","Tetramorium immigrans","2",460,44.2608695652174,-92.6086956521739,9,0.370089635269959,2.6284289237545e-08,9.2490189332771,5.85266599285823,12.7005969563028,7.56213069472627,6.73139134518793,8.11448478597309,14.396995087266,19.7512526545115,17.3999696471211,20.8091209298039,19.8102724839457,18.8517430909455,20.2482442154595,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.603004912733963,"Tetramorium"
"895","Prenolepis imparis","2",460,44.2608695652174,-92.6086956521739,29,0.511815670332166,0.00828458686557693,8.5825470348262,8.27645415020294,10.6155426259969,7.54150255511931,6.98813242239223,8.5412492255915,14.3488208846054,19.011617617121,16.7881959894965,20.2666967958774,19.3953353892406,18.831579419844,19.7087744212413,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.651179115394639,"Prenolepis"
"896","Prenolepis imparis","4",460,44.2608695652174,-92.6086956521739,16,0.03235310844822,0.0883382626952855,9.46620611898591,5.58531690377075,13.6065377129925,8.02035797008066,7.34584077591265,8.40834604076476,15.266401667248,21.3674797927068,19.4850377467977,25.6816680456245,18.8125169270324,18.1947659550918,19.4972973474625,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0.266401667247976,"Prenolepis"
"897","Pogonomyrmex rugosus","3",331,36.1739130434783,-111.478260869565,14,0.460544972279319,0.0100602022582443,5.41710115451926,3.46965540996405,8.65918569867504,6.12249487121018,5.42329483600506,6.91005522071641,12.7948041224683,21.274011292455,17.3931491036756,21.9572134878659,19.3930132069687,18.0307834673928,19.9176132899759,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2.20519587753169,"Pogonomyrmex"
"898","Pogonomyrmex rugosus","3",349,36.1739130434783,-108.782608695652,17,0.0825446776088323,5.51261280045133e-14,7.9967766602777,6.59592922833619,11.8287680158642,6.68977865900015,5.86549042396125,7.33356107440249,15.7629759098756,22.4324649359992,20.2324000150727,25.360954640152,22.0096770242207,21.6656910586943,22.9360709512316,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.762975909875594,"Pogonomyrmex"
"899","Pogonomyrmex rugosus","4",349,36.1739130434783,-108.782608695652,9,0.42044013355001,2.35945797314663e-06,7.86841112420553,4.7312000455915,11.7886079639065,7.73643363030253,7.47000801713237,9.03238954585285,12.3216612988028,17.4825564401233,14.3878758370068,19.4626149723044,20.0778439075176,18.9748867257179,20.6571815935434,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2.67833870119716,"Pogonomyrmex"
"900","Camponotus pennsylvanicus","2",492,33.4782608695652,-87.2173913043478,69,5.4539777128695e-05,1.19949845275455e-20,7.75873895281643,6.61361463657497,8.67622715365903,8.81978893482467,6.81026715812842,9.9271121917958,14.072072964789,20.6157885353448,18.9215939390541,20.9104893809896,24.9218415020824,23.9705172514531,25.5674705732565,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.927927035211026,"Camponotus"
"901","Camponotus pennsylvanicus","3",492,33.4782608695652,-87.2173913043478,32,0.467775339876181,0.000410647207265286,8.8961835692148,7.60673978918521,10.6827995408067,6.90913333614209,4.76373886506664,6.7996793207914,17.051520854863,24.0863482822755,22.4499175612777,24.8639477772252,27.1402612199004,25.8194561682052,27.6499156771178,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2.05152085486302,"Camponotus"
"902","Camponotus pennsylvanicus","4",492,33.4782608695652,-87.2173913043478,36,0.00605184830700572,5.94576357868006e-22,8.50856108238014,7.44974742161799,9.60092456563142,7.86889044069545,6.70930440288805,8.72502441838399,13.7876996514717,18.2176711890325,17.3298336076174,19.1246583738344,23.1946458640026,22.7782172468077,24.3029534560752,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1.21230034852827,"Camponotus"
"903","Camponotus castaneus","2",492,33.4782608695652,-87.2173913043478,16,0.0601386415783241,0.041988906450445,7.63947862804444,5.69315993017454,11.9408778626696,9.85830396510203,9.05930816169781,10.9006772691543,14.8713812836875,21.0859027250419,18.2272224939732,23.4575830379546,24.4227944374972,24.0159495284252,24.9357428924006,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.128618716312499,"Camponotus"
"904","Camponotus castaneus","3",492,33.4782608695652,-87.2173913043478,16,0.0507620061005199,0.0268205664589843,4.88266136515619,1.63338485347202,10.7475181419686,7.11981235338576,5.87510047277582,8.7061306162299,13.3412088317362,25.9446069685219,20.2187261977426,29.8390079715097,26.7937194487116,25.6265557570548,28.6251322448288,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.65879116826377,"Camponotus"
"905","Camponotus castaneus","4",492,33.4782608695652,-87.2173913043478,13,0.65134071928304,0.186745715213061,8.2946264846777,6.99299342231839,10.3310385123981,8.0099212062471,7.08552124813541,9.82383964189683,14.8827630510759,20.4383582653916,18.9462789592459,21.030565907894,22.9473226558865,22.0522463321485,23.6917927429077,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0.117236948924115,"Camponotus"
"906","Camponotus chromaiodes","2",492,33.4782608695652,-87.2173913043478,13,0.0144620731476398,0.00298882912727368,5.72140476995962,4.67565529965077,9.91034773570823,8.09069690069795,6.53089405275673,9.37559383967846,13.1513250917054,19.4717171202227,15.4891784431623,25.4927949736383,25.1832707013814,24.7307609906069,26.289187386562,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1.84867490829455,"Camponotus"
"907","Camponotus americanus","2",492,33.4782608695652,-87.2173913043478,21,0.00106151689073826,0.00476132761047478,6.00261761245623,3.84026829714831,6.7476252291844,8.22106823859592,6.25349008885056,9.18081329223094,12.2796090380154,19.8088762787439,15.3468386341415,22.4519435017938,25.1558938960793,24.2258841918773,25.3832514806422,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2.72039096198457,"Camponotus"
"908","Camponotus americanus","3",492,33.4782608695652,-87.2173913043478,18,0.0559237065641746,0.127604660803678,3.80429315893641,1.87104146483463,4.9945980100847,5.6435706613883,5.03804487756428,7.42390855607364,12.1968719736471,24.7882155696278,17.8919846639021,29.3953271413548,26.548105638643,25.7450912074287,27.6201783120775,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2.80312802635293,"Camponotus"
"909","Camponotus americanus","4",492,33.4782608695652,-87.2173913043478,15,0.833456138740185,0.959233736702235,8.30608863293836,6.30112213211177,10.1078023444369,9.04560045905735,7.89364663844027,10.0810682802743,15.7003457905916,20.7188597062613,15.0961325937305,22.3377923406838,23.8835471474284,23.1505764338572,24.3611063403937,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0.700345790591614,"Camponotus"
