"","species","season","cell","cell_lat","n","anova_p","manova_p","q5","q5_low","q5_high","bl_q5","bl_q5_low","bl_q5_high","q50","q95","q95_low","q95_high","bl_q95","bl_q95_low","bl_q95_high","onset_ci_ol","offset_ci_ol","is_sig_any","midday_dist","genus"
"342","Camponotus floridanus",2,740,28.9855072463768,150,0.0585792371555442,4.36176423846765e-10,7.36018379470893,6.65556490420991,7.62326697213704,6.78260683165406,6.43731629849603,8.10535793072749,14.378158005012,20.9444765809047,19.9793984213827,21.455777738879,19.96834620384,19.0314603488312,20.3224655805891,TRUE,TRUE,TRUE,0.621841994988001,"Camponotus"
"343","Camponotus floridanus",3,740,28.9855072463768,150,0.0546687987774674,0.000761025417638753,6.91596954076592,6.56496194450543,7.20561061538835,6.83203168395328,6.08601855812599,7.42474575685213,14.7332348402219,22.3858372611791,21.4821573909444,23.901560069979,20.6312744721489,19.8550948798809,21.2580641951618,TRUE,FALSE,TRUE,0.26676515977813,"Camponotus"
"344","Camponotus floridanus",4,740,28.9855072463768,150,0.144859147414653,8.95494752607112e-25,6.8085145728619,6.41833604563631,7.61669260145867,7.38443461532891,6.32482471739461,8.33001509931471,14.5263258325012,21.9265444769853,20.4136117351242,22.2516250112796,20.0230384507449,18.9989407303326,20.2096223573461,TRUE,FALSE,TRUE,0.473674167498777,"Camponotus"
"345","Paratrechina longicornis",2,740,28.9855072463768,10,0.160767847994327,0.0110952166914427,9.76888886655917,9.31019672861316,13.8473312988755,6.76010462330155,5.65918636634995,7.61195096617332,16.7474300451716,22.7335087884798,17.9590787972799,25.9627608873734,20.5536108822856,19.6357871560749,21.4825696842847,FALSE,TRUE,TRUE,1.7474300451716,"Paratrechina"
"346","Paratrechina longicornis",3,740,28.9855072463768,13,0.063690338529097,0.0910283193725996,4.97164107719092,4.64863494899174,8.74065189463094,5.00885201667139,4.25202986123299,5.67297875442902,14.1389973648505,23.3118382304695,16.8009090244411,25.1296034421309,19.912359631929,19.7147474721296,21.3398057684756,TRUE,TRUE,FALSE,0.861002635149514,"Paratrechina"
"347","Paratrechina longicornis",4,740,28.9855072463768,44,0.31337548704537,0.000975349559094828,8.12227783589769,7.36166530587485,9.48827841962881,6.90350395098843,6.52168693115928,7.69904027946719,14.7888695278586,19.8307468224205,19.1572941731305,20.6564733416765,19.7670795066553,18.6152852598728,19.9528595376441,TRUE,TRUE,TRUE,0.211130472141425,"Paratrechina"
"348","Trachymyrmex septentrionalis",2,740,28.9855072463768,17,0.559196126918868,0.000119812512823664,10.0978451701969,6.31001263686259,11.4030504931126,7.72069668743811,6.27694624905568,8.41194842250932,15.3828013581711,21.0852021723527,18.438695702256,21.8438918156467,20.973855955514,20.0143182472929,21.8186035849204,TRUE,TRUE,TRUE,0.382801358171122,"Trachymyrmex"
"349","Solenopsis invicta",1,740,28.9855072463768,84,0.441229037329437,1.34862457509644e-11,7.32236104286562,7.04613165845079,8.21375782683522,7.65084457902048,7.34759491142761,8.30554451596353,13.6786231955063,19.0063264000215,17.6160242216989,21.8263604942977,19.8905580729556,18.9971261812787,21.4485910281953,TRUE,TRUE,TRUE,1.32137680449369,"Solenopsis"
"350","Solenopsis invicta",2,740,28.9855072463768,150,0.328020733869663,4.14799296021141e-05,7.71139546557158,6.77629130892011,8.51107024509235,6.64446087947961,5.79707713540621,7.52742758865412,14.3332774678636,19.8757919528366,18.7372867867469,20.5367851674512,20.9178781835679,19.5639048043978,21.3454100043788,TRUE,TRUE,TRUE,0.666722532136415,"Solenopsis"
"351","Solenopsis invicta",3,740,28.9855072463768,56,0.100766721244461,1.11914813069726e-06,7.07780047776085,5.74287189155254,8.91765521539653,6.73279623960664,5.95912794272395,7.63186093958225,14.2974209524566,20.3920266843841,19.4698224079839,22.1272130785484,19.3390581890875,18.778436549624,19.9173022140994,TRUE,TRUE,TRUE,0.702579047543386,"Solenopsis"
"352","Solenopsis invicta",4,740,28.9855072463768,134,0.00661457948652599,1.38936897934256e-13,8.35469571056672,7.93776245077045,9.37061629271691,7.67422687598186,7.17268733866736,8.04270371768347,14.6013234071541,19.6512408189885,18.9740797780903,20.583778649885,19.2366828533891,18.3603133567938,20.0303133946951,TRUE,TRUE,TRUE,0.398676592845892,"Solenopsis"
"353","Camponotus planatus",1,740,28.9855072463768,12,0.35160936071364,1.6941831017298e-05,8.73822745060079,7.91029750651853,12.6675250997368,8.31253516154604,7.59980948774396,8.72846361903125,14.7643950063315,18.7425720049592,17.5322897790352,19.1668190651941,18.578810501478,17.8795253261121,19.1761183793782,TRUE,TRUE,TRUE,0.235604993668487,"Camponotus"
"354","Camponotus planatus",2,740,28.9855072463768,30,0.563602502506031,6.01186691768403e-14,8.15927613754795,7.83109882708814,10.1463340074457,7.70308262942663,7.28925562321747,8.15322289575317,14.5420056607,19.9161063701389,16.843508413367,20.0426942963858,20.5038319305343,19.9192873025452,20.7330434072419,TRUE,TRUE,TRUE,0.457994339300011,"Camponotus"
"355","Camponotus planatus",3,740,28.9855072463768,22,0.0317674080487368,0.0300901779238318,8.50212328380686,6.61673902052174,11.6612293966174,5.96935290369669,5.24013340464517,7.06361697784594,14.4866691544871,21.543461321836,20.4309891025899,22.926807040888,20.6549691960372,18.9938711708364,21.4667795860427,TRUE,TRUE,TRUE,0.513330845512883,"Camponotus"
