"","species","season","cell","cell_lat","n","anova_p","manova_p","q5","q5_low","q5_high","bl_q5","bl_q5_low","bl_q5_high","q50","q95","q95_low","q95_high","bl_q95","bl_q95_low","bl_q95_high","onset_ci_ol","offset_ci_ol"
"497","Dorymyrmex bureni",4,328,35.4927536231884,12,0.344372723198601,0.213246439907234,7.66588433714883,6.2420625838836,9.71103733223064,5.95512244033374,5.12751578941508,6.67955900740918,15.1051008320941,22.0118787818045,19.2903908303495,22.5916306051799,20.0901724353474,19.4704120841742,20.9683716760687,TRUE,TRUE
"498","Tapinoma sessile",2,328,35.4927536231884,16,0.412708727759711,0.026886262865402,8.53596423848078,5.72300601015591,9.97535205599423,7.54271253926523,6.89762302590427,8.2523103784447,15.2932597301436,21.5874180184826,17.0769178237325,23.2648759679023,21.2834495827548,20.2020230747049,21.9609137821245,TRUE,TRUE
"499","Camponotus chromaiodes",2,328,35.4927536231884,12,0.783438351420059,0.808464718747935,9.08620375265208,4.28710402367381,9.80321710070125,6.66106749037603,5.65269673648645,7.42013374433069,14.0139314622739,18.2124218885693,17.6873851497259,19.3137977642295,21.1735090973669,19.9639690253347,22.4527750002889,TRUE,FALSE
"500","Brachyponera chinensis",2,328,35.4927536231884,9,0.868490622858317,0.381368382180959,8.40521138780969,6.95277798238262,11.4461990806908,7.00786005723604,6.47692680083153,7.23245074376263,13.5564012200662,17.768592418487,15.2756371412246,18.3374946045725,20.2733677333642,19.5190100784409,21.0614673237001,TRUE,FALSE
"501","Brachyponera chinensis",4,328,35.4927536231884,23,0.479490187983898,7.58799088530018e-17,5.69332603270755,6.7565395389089,10.4608096918169,6.91669761894213,6.33014085626903,7.70139631625631,14.0258208057064,21.0058088492454,17.4117080630624,24.2859344534303,20.5872469110885,19.1107370636958,20.9466106834729,TRUE,TRUE
"502","Atta texana",1,241,24.6231884057971,36,0.424941672448323,1.11185411669916e-11,8.70522658449802,7.74173068682321,10.0007929659404,7.64799482166116,6.67078155338346,7.98681791359085,14.3289963181795,18.4821200152093,17.986857498435,19.6729549791385,19.1030763914429,18.4445598729796,20.4301077113663,TRUE,TRUE
"503","Atta texana",2,241,24.6231884057971,21,0.0230883741918884,2.17850345286877e-05,6.94326467895493,5.25013841323989,11.0972736189125,3.36435636825614,3.21757016678286,4.28442549028816,15.4977248620882,22.7979861299082,21.8512504877732,23.9508016237134,23.5402677781981,22.5659815267557,24.7696981362827,FALSE,TRUE
"504","Atta texana",4,241,24.6231884057971,24,0.0039968546532143,6.73083082580796e-13,8.69909415498983,7.61356682196143,11.6284882528215,6.66408247271833,5.98841568604822,7.13548433406472,15.9400639409353,21.7022393853667,19.1049106013582,22.2664145492441,19.5541213479226,19.1339243219106,20.5773080081826,FALSE,TRUE
"505","Pogonomyrmex barbatus",1,241,24.6231884057971,28,0.72956351132313,7.02802280119703e-19,7.80008261877321,6.19476756524851,9.48902933512151,5.87802386057554,4.76742277910994,6.92744304004934,13.2657901833012,17.67260570898,15.5563644782132,18.1460505014256,20.1023791059291,18.1601182648921,20.8775228768291,TRUE,FALSE
"506","Pogonomyrmex barbatus",2,241,24.6231884057971,50,0.4719828324842,1.89382235211431e-15,6.16488558033338,5.56069529418221,7.47298475355166,4.69237779660437,3.53609949892139,5.81915040440652,12.7359195580408,18.9182400656186,17.8773883184443,20.0118568638815,23.0095825853526,21.9798918222521,24.3615472816427,TRUE,FALSE
"507","Pogonomyrmex barbatus",3,241,24.6231884057971,9,0.289128727733494,0.439969107492241,7.65928431173296,2.93548524776237,10.2052884984475,3.07680974620275,2.2417360277892,3.94021256868731,14.1167848463769,20.1050682238519,16.5269071194909,21.9615395997928,23.7622945536775,23.2494797230098,25.5468676067628,TRUE,FALSE
"508","Pogonomyrmex barbatus",4,241,24.6231884057971,32,0.0468786955949658,8.74237789278167e-16,6.44283568298458,1.3172064610557,7.83125870417431,6.46743139329439,5.42734921845772,7.42801553452784,12.7118418253279,18.1014162115644,17.1722003652693,20.0564928609038,20.8986138684561,19.9090037879565,21.8025797846507,TRUE,TRUE
"509","Neoponera villosa",1,241,24.6231884057971,24,0.366685296585569,1.12439634976907e-05,8.54043574834939,5.69353570557625,10.0418804924852,7.00375475475406,6.51237433907266,7.84410301305007,13.6070305503847,18.4879062984532,16.2905805285599,20.2885248511242,19.4559696310639,18.6215215814885,20.437577688097,TRUE,TRUE
"510","Neoponera villosa",2,241,24.6231884057971,37,0.123371898360681,0.0167008731058113,6.32318419199209,4.74535671234579,9.12986135396331,4.44723011228772,3.80226587809949,5.04279242495861,14.9945435875435,23.8574532795742,20.2897991880874,25.4636007763039,22.1899445789055,21.4757417536977,22.9921325854364,TRUE,TRUE
"511","Neoponera villosa",3,241,24.6231884057971,25,0.0824919629263767,0.000116985109890715,4.97151816442491,2.1093863632948,7.5518283517485,4.33116179757636,3.37195230877705,4.28451460448275,14.26278963723,24.2083930817799,21.7021395336336,24.6827594315384,21.8041367508394,20.3740273224803,23.3944239307882,TRUE,TRUE
"512","Neoponera villosa",4,241,24.6231884057971,46,0.196375204041654,3.77625297972624e-20,7.42385420233022,6.65352502358331,9.72661230449794,6.53586063192431,5.23434773159313,7.07360188398783,13.4032639907639,19.313694672328,18.7123598047854,21.2928280157069,20.4298582851254,19.6582351722221,21.7084837942115,TRUE,TRUE
"513","Pseudomyrmex gracilis",1,241,24.6231884057971,14,0.34653818874582,1.84504865282316e-08,9.25306318064288,6.74044449030514,10.5356116652473,6.49160105933219,5.72397126560028,7.50299298905364,14.5745538058316,18.0592797379199,16.4742973438848,19.3556813356224,19.9038333367556,19.3240076974101,21.3584601126142,TRUE,TRUE
"514","Pseudomyrmex gracilis",2,241,24.6231884057971,22,0.971749633889208,0.000864067349728519,5.14675028270357,3.23873111137852,10.9684855748472,4.2828877339424,3.71682867324626,4.8974333758661,13.6819395209086,22.4148822624778,18.521495523142,25.5182051807727,23.1986806937543,21.9600255707934,25.0896659028437,TRUE,TRUE
"515","Pseudomyrmex gracilis",3,241,24.6231884057971,12,0.274901923318921,0.374510373447278,5.55988844897889,2.71788732841115,9.56152843266676,3.43614383691208,2.66446770102645,3.81906422947352,12.5468398365074,21.5359868631485,17.4333581160902,23.8955704608686,21.9290356073069,20.7228940677039,23.1697678870398,TRUE,TRUE
"516","Pseudomyrmex gracilis",4,241,24.6231884057971,25,0.993669472854188,2.28025811557296e-21,7.38847874787357,6.01445609734368,9.57451662516635,6.56140295900036,6.10698608796271,7.02229654511743,13.9635148095335,19.8399143003441,16.7592050524591,23.0169241085966,20.4499819229313,18.9372658428209,22.4297509868995,TRUE,TRUE
"517","Camponotus atriceps",2,241,24.6231884057971,11,0.197993715989689,0.120823640623585,4.5019437059104,0.860504195844363,7.97752249345829,3.11173979001604,2.60451850970176,4.44771894294341,15.4150509266461,NA,NA,NA,24.1816911679694,21.5123538995297,25.6167216623603,TRUE,NA
"518","Camponotus atriceps",3,241,24.6231884057971,9,0.317514705170018,0.017805924653675,NA,NA,NA,3.12461433664833,3.04278556401283,4.24360759835782,9.60595037200709,NA,NA,NA,22.7291178951411,21.4478544569541,24.4186267634717,NA,NA
"519","Crematogaster laeviuscula",1,241,24.6231884057971,9,0.88061150010017,8.7953471824988e-05,7.60058491173194,6.06966717207946,8.81042155843762,6.69079023883275,5.41923786392623,7.51286359262986,14.496083310466,19.824619852483,16.8008652268954,19.9806053668026,20.6479721705814,19.4038637035033,21.8814621901791,TRUE,TRUE
"520","Crematogaster laeviuscula",2,241,24.6231884057971,12,0.33237302509168,0.070668566760528,4.9963385497523,5.0158074937821,12.0125987341551,3.49382969500791,3.009508765924,4.8620930545802,14.3277917132915,22.8442913300453,20.7414341378501,26.8912132060043,24.0558766948206,23.8342041608995,25.9438946621086,FALSE,TRUE
"521","Paratrechina longicornis",1,241,24.6231884057971,11,0.162209389952075,0.120283424483197,10.2478063874158,7.3248448364054,13.1380400972785,6.36013266699078,5.83978799408511,7.42591555979463,14.5957186680033,18.2996377883388,16.8377695438093,19.242921161916,19.7632899605044,18.6526684025938,20.7759052877077,TRUE,TRUE
"522","Paratrechina longicornis",4,241,24.6231884057971,9,0.915360854117967,7.39138092635308e-08,5.70799678933312,2.29505126768094,7.93293965147018,6.33793874806916,5.10593401027825,7.38569429252604,12.4385202710286,21.9302062471743,17.1209189254199,22.2449592433375,20.0967298003043,19.4642997263882,20.2723216821777,TRUE,TRUE
"523","Camponotus planatus",2,241,24.6231884057971,14,0.461634143088111,0.00998250029450051,6.45319366371539,5.38028122618213,8.88328513392163,4.39245220924973,3.96587795144212,5.48403554329047,12.9160132946671,19.7700098074644,11.8640284421559,22.0544443528905,22.4968594982605,21.9118758962835,23.0698308598551,TRUE,TRUE
"524","Solenopsis invicta",1,243,31.8695652173913,150,0.15648562361738,5.39261899682573e-34,7.34402827660433,7.3302051700117,9.35000082765642,6.90482167683383,5.81364725519318,7.6216264353714,14.7317928136145,21.3470232255796,19.510207485807,22.7668627822916,22.9868879086483,22.2209516922044,24.3893536277321,TRUE,TRUE
"525","Solenopsis invicta",2,243,31.8695652173913,150,0.0691336326599921,7.05281763965644e-05,7.77477007848369,7.30233861997626,8.71428780592011,6.42140862548539,5.41650343205561,7.26496724724354,14.201814592934,19.844117635232,19.2890770546591,20.5490324736439,22.5896095824402,22.3202618760605,23.7194553707328,FALSE,FALSE
